x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5
27.0,46.0,-123.27453000180395,103.0,160.0,226.0,288.0,325.0,353.0
154.0,58.0,-118.56958523184642,123.0,118.0,259.0,232.0,344.0,329.0
147.0,96.0,-112.48460440144116,174.0,179.0,214.0,279.0,315.0,331.0
123.0,82.0,-113.030885379707,183.0,137.0,208.0,271.0,353.0,331.0
51.0,5.0,-124.36227154962478,171.0,198.0,254.0,242.0,353.0,331.0
30.0,30.0,-123.89195233714983,144.0,130.0,286.0,283.0,337.0,302.0
62.0,56.0,-120.40164904736918,184.0,115.0,271.0,255.0,397.0,387.0
52.0,97.0,-118.73364136743464,159.0,170.0,205.0,270.0,386.0,378.0
141.0,54.0,-118.39115992931468,179.0,168.0,210.0,205.0,317.0,381.0
30.0,99.0,-121.00508352978599,156.0,185.0,223.0,290.0,395.0,385.0
180.0,25.0,-122.7464589371773,138.0,196.0,248.0,298.0,395.0,382.0
163.0,31.0,-121.59307065537044,183.0,185.0,220.0,207.0,360.0,306.0
127.0,60.0,-117.16762950187706,108.0,109.0,281.0,235.0,317.0,373.0
159.0,68.0,-117.80305329832572,133.0,187.0,214.0,214.0,390.0,366.0
129.0,101.0,-107.65328060257423,171.0,130.0,274.0,249.0,376.0,377.0
129.0,42.0,-119.52854805996233,136.0,114.0,287.0,243.0,312.0,332.0
190.0,100.0,-118.79770702978226,167.0,175.0,255.0,210.0,327.0,358.0
176.0,93.0,-117.37615184628137,180.0,105.0,258.0,220.0,300.0,370.0
58.0,19.0,-123.24837295754799,182.0,136.0,207.0,203.0,336.0,380.0
148.0,61.0,-117.85534916257325,143.0,178.0,294.0,287.0,362.0,394.0
110.0,40.0,-119.77367995362906,106.0,144.0,300.0,210.0,329.0,384.0
31.0,26.0,-124.04419540402841,166.0,159.0,249.0,258.0,348.0,331.0
26.0,82.0,-121.84174920338285,126.0,128.0,221.0,200.0,338.0,391.0
30.0,23.0,-124.24191334282116,122.0,124.0,225.0,267.0,347.0,341.0
108.0,60.0,-117.29457715197137,100.0,110.0,280.0,217.0,351.0,399.0
19.0,65.0,-122.97744455559311,114.0,129.0,246.0,225.0,375.0,356.0
155.0,13.0,-122.77071511369547,105.0,116.0,288.0,202.0,394.0,315.0
153.0,53.0,-119.06481165390142,102.0,182.0,298.0,212.0,385.0,379.0
168.0,16.0,-122.9236409120926,187.0,130.0,273.0,257.0,332.0,301.0
56.0,18.0,-123.39200853674913,143.0,195.0,287.0,296.0,349.0,368.0
3.0,85.0,-123.51624870325315,114.0,197.0,300.0,261.0,359.0,300.0
56.0,11.0,-123.82869156467964,172.0,109.0,281.0,295.0,328.0,378.0
174.0,1.0,-124.11312496265077,112.0,180.0,264.0,248.0,320.0,324.0
90.0,64.0,-117.63855374763571,167.0,135.0,238.0,291.0,357.0,342.0
81.0,86.0,-115.79799220543782,137.0,113.0,294.0,224.0,354.0,344.0
65.0,59.0,-119.94919881565238,128.0,110.0,205.0,266.0,312.0,330.0
188.0,18.0,-123.53223125580118,195.0,196.0,280.0,272.0,375.0,303.0
29.0,46.0,-123.15569366044306,113.0,180.0,248.0,291.0,388.0,302.0
76.0,63.0,-118.76580047079887,146.0,169.0,258.0,258.0,363.0,378.0
17.0,63.0,-123.18769455151019,158.0,110.0,295.0,223.0,391.0,308.0
189.0,3.0,-124.45960282593046,122.0,132.0,210.0,233.0,363.0,356.0
100.0,33.0,-120.69299450282324,200.0,165.0,298.0,252.0,306.0,362.0
13.0,75.0,-123.06016110308687,112.0,190.0,275.0,220.0,368.0,392.0
19.0,44.0,-123.82927144530237,125.0,100.0,200.0,266.0,394.0,393.0
3.0,96.0,-123.31458554488489,139.0,133.0,225.0,272.0,352.0,334.0
110.0,55.0,-117.94175816597712,151.0,156.0,246.0,216.0,368.0,347.0
76.0,110.0,-114.56009218090344,110.0,197.0,205.0,252.0,388.0,313.0
154.0,66.0,-117.64072616669515,117.0,183.0,276.0,246.0,385.0,320.0
26.0,14.0,-124.85727462006469,106.0,151.0,240.0,218.0,352.0,362.0
7.0,34.0,-124.87793187614358,133.0,175.0,252.0,278.0,345.0,369.0
69.0,11.0,-123.38547169817454,133.0,195.0,238.0,288.0,332.0,400.0
177.0,43.0,-121.30487026641339,117.0,141.0,208.0,212.0,363.0,351.0
124.0,47.0,-118.88788975921145,157.0,131.0,216.0,288.0,388.0,376.0
147.0,100.0,-111.82123768952475,191.0,172.0,247.0,264.0,367.0,355.0
35.0,52.0,-122.48346943569584,198.0,161.0,252.0,258.0,329.0,334.0
145.0,53.0,-118.67747014117211,188.0,196.0,289.0,257.0,310.0,363.0
24.0,73.0,-122.31796965732482,188.0,112.0,298.0,281.0,363.0,321.0
78.0,97.0,-115.10116326646929,192.0,127.0,263.0,255.0,311.0,356.0
38.0,60.0,-121.86315391508202,135.0,120.0,230.0,276.0,334.0,328.0
43.0,57.0,-121.67373244017674,174.0,153.0,297.0,230.0,336.0,360.0
182.0,77.0,-119.1350256266297,167.0,107.0,265.0,291.0,372.0,361.0
92.0,100.0,-112.14396386887589,143.0,167.0,257.0,202.0,386.0,315.0
83.0,50.0,-119.61769180522202,181.0,141.0,243.0,210.0,368.0,315.0
142.0,37.0,-120.32996355811684,170.0,119.0,210.0,205.0,394.0,353.0
28.0,45.0,-123.26307386138714,132.0,173.0,285.0,222.0,351.0,372.0
72.0,56.0,-119.7120966667471,102.0,125.0,242.0,268.0,300.0,313.0
85.0,2.0,-123.58664889582184,190.0,178.0,297.0,285.0,307.0,333.0
120.0,29.0,-120.86080960769615,112.0,110.0,228.0,225.0,334.0,325.0
21.0,91.0,-121.99617986406699,187.0,181.0,294.0,259.0,326.0,349.0
68.0,94.0,-116.84149699394294,131.0,112.0,224.0,201.0,317.0,357.0
13.0,76.0,-123.030229149225,180.0,110.0,217.0,249.0,399.0,301.0
185.0,90.0,-118.65215060157587,141.0,102.0,268.0,207.0,335.0,335.0
