x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
190.0,74.0,-120.07859460942764,181.0,196.0,224.0,263.0,384.0,302.0,7
89.0,97.0,-113.1723231209659,168.0,102.0,246.0,297.0,321.0,322.0,7
121.0,106.0,-104.1037003832019,145.0,129.0,239.0,203.0,391.0,379.0,7
29.0,48.0,-123.05905211322292,108.0,145.0,241.0,298.0,341.0,343.0,7
168.0,96.0,-116.04559090972398,121.0,190.0,229.0,248.0,399.0,344.0,7
9.0,109.0,-122.69684056163598,171.0,154.0,254.0,265.0,348.0,365.0,7
127.0,88.0,-111.6598894326261,114.0,172.0,280.0,210.0,300.0,302.0,7
25.0,56.0,-122.9421922658619,139.0,174.0,233.0,247.0,358.0,368.0,7
14.0,29.0,-124.73092897285034,170.0,150.0,209.0,219.0,304.0,382.0,7
154.0,28.0,-121.52625692457852,142.0,187.0,221.0,205.0,394.0,389.0,7
9.0,98.0,-122.82807526950756,155.0,109.0,205.0,229.0,337.0,375.0,7
83.0,20.0,-122.29469808131996,171.0,132.0,227.0,248.0,398.0,340.0,7
67.0,70.0,-118.87236257089891,125.0,133.0,259.0,294.0,350.0,368.0,7
111.0,78.0,-114.11776767369032,155.0,135.0,284.0,253.0,348.0,366.0,7
55.0,13.0,-123.74254926679592,191.0,130.0,240.0,279.0,368.0,304.0,7
44.0,79.0,-120.39829857248752,182.0,133.0,224.0,230.0,374.0,319.0,7
182.0,8.0,-123.92535981916264,173.0,150.0,242.0,253.0,392.0,370.0,7
109.0,70.0,-115.69332377173116,171.0,129.0,267.0,204.0,398.0,388.0,7
181.0,51.0,-120.94580133701126,153.0,118.0,289.0,275.0,337.0,366.0,8
75.0,39.0,-121.03270057028664,128.0,161.0,285.0,252.0,384.0,368.0,7
50.0,101.0,-118.82560926624674,175.0,114.0,286.0,227.0,374.0,387.0,7
26.0,12.0,-124.95231540284706,186.0,115.0,284.0,271.0,346.0,385.0,7
171.0,4.0,-123.83551866879812,120.0,139.0,222.0,211.0,300.0,330.0,7
116.0,20.0,-121.7185541142614,193.0,125.0,282.0,235.0,306.0,301.0,7
39.0,68.0,-121.3757229783312,196.0,130.0,211.0,233.0,316.0,362.0,7
160.0,107.0,-113.8281715505564,119.0,120.0,223.0,249.0,346.0,341.0,7
98.0,42.0,-119.82387334093326,116.0,126.0,229.0,249.0,319.0,385.0,7
120.0,54.0,-117.9689579692197,125.0,116.0,277.0,263.0,330.0,398.0,7
142.0,60.0,-117.66421146450035,136.0,179.0,222.0,212.0,308.0,391.0,7
176.0,92.0,-117.4408125490662,184.0,149.0,239.0,283.0,335.0,372.0,7
88.0,42.0,-120.1813130753657,143.0,167.0,297.0,208.0,317.0,332.0,7
21.0,104.0,-121.73944023190968,134.0,185.0,208.0,279.0,338.0,375.0,7
8.0,16.0,-125.54078206364652,166.0,156.0,217.0,253.0,390.0,349.0,7
46.0,82.0,-120.06188468005404,198.0,115.0,235.0,218.0,395.0,356.0,7
101.0,93.0,-111.77417293820704,111.0,194.0,236.0,274.0,343.0,375.0,7
144.0,58.0,-118.01966038162476,130.0,184.0,246.0,230.0,319.0,318.0,7
135.0,30.0,-120.88015611700844,117.0,159.0,273.0,251.0,326.0,300.0,7
94.0,57.0,-118.26834274718098,124.0,102.0,300.0,263.0,353.0,322.0,8
74.0,41.0,-120.9112544113312,188.0,173.0,249.0,218.0,316.0,373.0,7
54.0,72.0,-119.89106935207349,191.0,114.0,222.0,291.0,391.0,317.0,7
117.0,18.0,-121.89342525382084,152.0,165.0,256.0,249.0,383.0,361.0,7
92.0,41.0,-120.12769838138786,149.0,104.0,288.0,272.0,325.0,303.0,7
14.0,57.0,-123.60566587494765,179.0,193.0,213.0,203.0,348.0,398.0,7
51.0,75.0,-119.97498593098146,135.0,142.0,217.0,201.0,325.0,304.0,7
128.0,49.0,-118.67907917679506,139.0,119.0,261.0,233.0,304.0,355.0,7
104.0,83.0,-113.555729540076,153.0,104.0,279.0,212.0,374.0,327.0,7
83.0,13.0,-122.83462176048003,142.0,176.0,282.0,273.0,376.0,388.0,7
84.0,97.0,-114.0792919712595,123.0,134.0,299.0,280.0,365.0,336.0,10
166.0,30.0,-121.79375309786576,159.0,143.0,256.0,251.0,329.0,320.0,7
158.0,103.0,-113.74269172985898,109.0,133.0,280.0,291.0,362.0,372.0,11
73.0,66.0,-118.71375681449392,119.0,143.0,296.0,276.0,389.0,320.0,8
90.0,2.0,-123.4884282500723,129.0,186.0,285.0,272.0,379.0,382.0,7
17.0,31.0,-124.49715965159967,113.0,110.0,202.0,243.0,332.0,388.0,7
5.0,104.0,-123.0588845202519,126.0,197.0,231.0,266.0,315.0,325.0,7
25.0,97.0,-121.5098185962956,112.0,148.0,229.0,235.0,313.0,307.0,7
138.0,36.0,-120.3358025210749,197.0,170.0,215.0,281.0,358.0,314.0,7
94.0,18.0,-122.1772485107814,186.0,154.0,252.0,254.0,326.0,399.0,7
76.0,94.0,-115.68589611538368,187.0,153.0,282.0,241.0,364.0,308.0,7
74.0,5.0,-123.64444870554902,171.0,137.0,237.0,266.0,382.0,389.0,7
116.0,40.0,-119.71318767361402,106.0,123.0,283.0,242.0,335.0,311.0,7
161.0,106.0,-114.0978720382551,119.0,115.0,253.0,291.0,344.0,358.0,7
99.0,101.0,-110.40600085004216,187.0,119.0,215.0,260.0,327.0,368.0,7
117.0,74.0,-114.74535827476608,172.0,168.0,254.0,296.0,371.0,338.0,7
76.0,47.0,-120.28144201126844,192.0,125.0,261.0,226.0,400.0,305.0,7
33.0,75.0,-121.53194598767038,150.0,186.0,262.0,292.0,397.0,370.0,7
20.0,85.0,-122.23707062055902,139.0,169.0,285.0,251.0,339.0,385.0,7
157.0,22.0,-122.11952093772844,163.0,163.0,253.0,260.0,338.0,386.0,7
125.0,100.0,-107.5052558471812,198.0,138.0,290.0,201.0,384.0,309.0,7
118.0,1.0,-123.27970034335316,140.0,111.0,200.0,213.0,388.0,311.0,7
141.0,11.0,-122.64688980415278,145.0,199.0,223.0,231.0,302.0,386.0,7
143.0,37.0,-120.35701696224524,101.0,122.0,236.0,248.0,333.0,347.0,7
4.0,11.0,-125.90686733507746,183.0,109.0,255.0,299.0,330.0,389.0,7
73.0,84.0,-117.00690148593692,130.0,141.0,285.0,292.0,383.0,301.0,12
67.0,28.0,-122.25827776700744,143.0,155.0,214.0,282.0,360.0,332.0,7
22.0,60.0,-122.970321563251,164.0,185.0,208.0,291.0,329.0,314.0,7
15.0,58.0,-123.5050084340995,196.0,177.0,222.0,204.0,367.0,315.0,7
83.0,40.0,-120.58196941730014,187.0,113.0,206.0,265.0,303.0,351.0,7
153.0,107.0,-112.28712791317405,180.0,175.0,250.0,235.0,369.0,348.0,7
100.0,36.0,-120.3936673225464,161.0,197.0,225.0,224.0,373.0,336.0,7
105.0,30.0,-120.88850328962818,103.0,184.0,249.0,233.0,373.0,373.0,7
101.0,90.0,-112.424672736402,192.0,137.0,282.0,240.0,319.0,351.0,7
25.0,83.0,-121.89123449465478,100.0,182.0,223.0,200.0,319.0,319.0,7
103.0,18.0,-122.0156915771966,123.0,104.0,223.0,203.0,347.0,361.0,7
0.0,57.0,-124.45682006293342,133.0,174.0,244.0,269.0,381.0,383.0,7
3.0,74.0,-123.7786115499093,149.0,143.0,268.0,284.0,374.0,345.0,7
108.0,26.0,-121.22870418236693,162.0,132.0,289.0,248.0,335.0,304.0,7
