,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,67.0,18.0,-122.97285457748303,139.0,153.0,200.0,286.0,391.0,372.0,9
1,111.0,93.0,-110.43847666335478,125.0,140.0,273.0,221.0,381.0,315.0,7
2,39.0,29.0,-123.49762684262176,123.0,125.0,245.0,275.0,321.0,340.0,10
3,34.0,98.0,-120.64291252577516,177.0,191.0,247.0,222.0,329.0,400.0,8
4,143.0,3.0,-123.292088318646,174.0,176.0,280.0,237.0,380.0,361.0,9
5,141.0,6.0,-123.03763357532128,181.0,113.0,250.0,289.0,390.0,334.0,9
6,139.0,3.0,-123.23924640779173,156.0,190.0,259.0,217.0,320.0,324.0,9
7,167.0,106.0,-115.21892574692282,175.0,185.0,248.0,280.0,369.0,323.0,7
8,139.0,90.0,-112.35533661306134,199.0,120.0,281.0,241.0,301.0,346.0,7
9,9.0,101.0,-122.7841659655972,175.0,154.0,204.0,262.0,339.0,336.0,9
10,113.0,4.0,-123.06550507138108,154.0,139.0,201.0,257.0,389.0,327.0,9
11,82.0,43.0,-120.34691868302338,145.0,112.0,211.0,272.0,392.0,308.0,7
12,186.0,90.0,-118.76610027449856,130.0,198.0,236.0,268.0,374.0,398.0,7
13,145.0,104.0,-110.69172877962497,187.0,112.0,253.0,263.0,394.0,324.0,7
14,35.0,4.0,-124.99170702340908,184.0,155.0,200.0,295.0,305.0,385.0,11
15,148.0,11.0,-122.76916611581706,188.0,145.0,250.0,275.0,385.0,315.0,9
16,177.0,79.0,-118.48531627493465,118.0,178.0,243.0,266.0,336.0,392.0,7
17,19.0,61.0,-123.13030888857044,108.0,125.0,266.0,268.0,325.0,347.0,9
18,9.0,9.0,-125.78154236073816,112.0,173.0,272.0,261.0,394.0,346.0,12
19,173.0,110.0,-116.07573211919528,193.0,159.0,237.0,295.0,386.0,384.0,7
20,190.0,42.0,-122.11281247171326,118.0,172.0,297.0,247.0,328.0,338.0,8
21,65.0,77.0,-118.4878767764436,161.0,132.0,276.0,289.0,366.0,396.0,7
22,136.0,62.0,-117.1248306342722,114.0,113.0,271.0,294.0,305.0,330.0,7
23,69.0,39.0,-121.32535105770724,127.0,108.0,273.0,214.0,375.0,368.0,8
24,119.0,83.0,-112.7736286239819,112.0,145.0,277.0,204.0,345.0,317.0,7
25,27.0,63.0,-122.5014022606934,102.0,181.0,287.0,248.0,394.0,375.0,9
26,25.0,69.0,-122.3968358833596,163.0,117.0,230.0,220.0,358.0,398.0,8
27,29.0,76.0,-121.81484702542691,110.0,105.0,296.0,283.0,336.0,384.0,8
28,14.0,9.0,-125.5786312908134,191.0,103.0,234.0,291.0,307.0,348.0,12
29,108.0,19.0,-121.86577886369808,177.0,151.0,272.0,286.0,388.0,395.0,8
30,14.0,46.0,-124.03170224410448,119.0,143.0,242.0,295.0,304.0,312.0,10
31,66.0,107.0,-116.42590478138548,149.0,152.0,284.0,210.0,308.0,373.0,7
32,177.0,59.0,-120.0581957729978,177.0,152.0,236.0,283.0,368.0,371.0,7
33,144.0,71.0,-116.23417142807725,194.0,138.0,214.0,272.0,338.0,397.0,7
34,109.0,84.0,-112.93842147694969,149.0,200.0,270.0,258.0,372.0,379.0,7
35,28.0,85.0,-121.5749436900129,111.0,154.0,279.0,291.0,317.0,302.0,8
36,170.0,63.0,-119.18985185902636,181.0,130.0,240.0,283.0,390.0,327.0,7
37,112.0,26.0,-121.18749200186996,114.0,182.0,257.0,255.0,379.0,346.0,8
38,182.0,80.0,-118.9313883208692,177.0,196.0,232.0,242.0,389.0,336.0,7
39,60.0,103.0,-117.46750444567785,148.0,154.0,278.0,294.0,384.0,321.0,7
40,156.0,86.0,-115.33650976196088,187.0,180.0,242.0,264.0,351.0,336.0,7
41,43.0,18.0,-123.92853053142856,108.0,113.0,271.0,285.0,366.0,366.0,10
42,13.0,44.0,-124.16792191422472,124.0,162.0,279.0,272.0,333.0,330.0,10
43,124.0,49.0,-118.63851259504996,145.0,150.0,216.0,204.0,381.0,390.0,7
44,145.0,58.0,-118.06871743745292,111.0,107.0,217.0,247.0,333.0,324.0,7
45,129.0,15.0,-122.18109537065628,142.0,137.0,276.0,262.0,345.0,379.0,8
46,139.0,28.0,-121.14187978373786,189.0,131.0,270.0,237.0,304.0,398.0,8
