,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
0,83.0,74.0,-116.981368670119,105.0,156.0,269.0,233.0,376.0,383.0,8
1,157.0,58.0,-118.75613624648572,145.0,160.0,253.0,221.0,396.0,399.0,9
2,189.0,109.0,-118.42093485003184,140.0,185.0,281.0,229.0,372.0,396.0,9
3,69.0,110.0,-115.82752891065124,188.0,135.0,299.0,216.0,372.0,382.0,7
4,163.0,91.0,-115.74466076511018,192.0,141.0,271.0,280.0,389.0,303.0,7
5,147.0,7.0,-123.05681485534204,111.0,182.0,257.0,285.0,362.0,348.0,11
6,70.0,82.0,-117.53672182625382,174.0,135.0,291.0,249.0,381.0,338.0,8
7,186.0,103.0,-118.19929494289528,157.0,186.0,253.0,253.0,392.0,302.0,8
8,144.0,0.0,-123.52621552603092,196.0,103.0,283.0,295.0,351.0,386.0,12
9,112.0,88.0,-111.75346841712272,182.0,174.0,263.0,205.0,358.0,368.0,7
10,42.0,73.0,-120.87679890463266,147.0,143.0,280.0,263.0,390.0,360.0,10
11,102.0,14.0,-122.36688194490644,145.0,111.0,265.0,281.0,392.0,330.0,11
12,106.0,60.0,-117.35748228790892,140.0,192.0,295.0,225.0,350.0,307.0,8
13,151.0,8.0,-123.05828924691389,118.0,108.0,253.0,279.0,385.0,373.0,11
14,159.0,16.0,-122.64803590739083,193.0,174.0,252.0,226.0,357.0,394.0,11
15,110.0,55.0,-117.94175816597712,198.0,145.0,288.0,265.0,361.0,331.0,8
16,155.0,26.0,-121.7283185276535,134.0,106.0,267.0,274.0,350.0,357.0,10
17,155.0,20.0,-122.22261156383884,101.0,114.0,263.0,205.0,390.0,394.0,11
18,0.0,3.0,-126.37156144207243,114.0,174.0,280.0,220.0,382.0,332.0,12
19,103.0,52.0,-118.51740012773472,147.0,191.0,271.0,269.0,365.0,373.0,9
20,144.0,22.0,-121.78468817000424,168.0,114.0,289.0,214.0,364.0,303.0,10
21,105.0,12.0,-122.49274791331008,176.0,200.0,274.0,269.0,367.0,372.0,11
22,72.0,72.0,-118.23607888881207,114.0,121.0,283.0,220.0,358.0,377.0,8
23,54.0,47.0,-121.57595692512616,127.0,130.0,271.0,232.0,368.0,399.0,10
24,106.0,78.0,-114.39298293211245,160.0,161.0,276.0,212.0,360.0,340.0,7
25,176.0,49.0,-120.78247400242904,106.0,170.0,270.0,208.0,368.0,320.0,10
26,7.0,88.0,-123.16406706343749,182.0,169.0,260.0,203.0,392.0,393.0,12
27,62.0,47.0,-121.08955118725592,126.0,136.0,275.0,225.0,382.0,379.0,10
28,38.0,3.0,-124.93286318995746,177.0,172.0,298.0,214.0,374.0,399.0,12
29,16.0,53.0,-123.63540792850614,187.0,133.0,258.0,291.0,369.0,327.0,12
30,92.0,25.0,-121.62922437541708,137.0,156.0,300.0,239.0,366.0,386.0,10
31,42.0,37.0,-122.89163382874762,195.0,184.0,292.0,212.0,365.0,343.0,11
32,154.0,74.0,-116.64992822500771,143.0,154.0,258.0,286.0,398.0,310.0,8
33,128.0,14.0,-122.25937679747858,143.0,175.0,293.0,271.0,368.0,322.0,11
34,120.0,105.0,-104.70510661557262,105.0,169.0,259.0,254.0,351.0,364.0,7
35,161.0,60.0,-118.8118864084048,160.0,176.0,300.0,277.0,393.0,347.0,9
36,18.0,40.0,-124.05663730583476,141.0,198.0,251.0,298.0,374.0,349.0,12
37,70.0,41.0,-121.11370163055376,128.0,106.0,250.0,234.0,374.0,383.0,10
38,75.0,39.0,-121.03270057028664,170.0,114.0,291.0,250.0,372.0,386.0,10
39,122.0,52.0,-118.24046836113016,135.0,161.0,300.0,226.0,364.0,330.0,9
40,146.0,88.0,-113.69238716700444,156.0,118.0,284.0,214.0,366.0,374.0,7
41,151.0,47.0,-119.6087406284234,101.0,136.0,282.0,253.0,355.0,339.0,9
42,115.0,72.0,-115.15866774521736,144.0,121.0,253.0,203.0,367.0,395.0,7
