x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
33.0,50.0,-122.7130827552094,151.0,118.0,299.0,260.0,398.0,395.0,12
41.0,20.0,-123.90316129284074,100.0,196.0,243.0,261.0,354.0,312.0,11
105.0,35.0,-120.38881541389384,114.0,170.0,206.0,276.0,376.0,323.0,7
175.0,14.0,-123.29867631715206,186.0,187.0,269.0,263.0,322.0,307.0,10
3.0,103.0,-123.22209802853844,128.0,160.0,256.0,288.0,329.0,393.0,12
103.0,55.0,-118.13684041444176,131.0,186.0,231.0,236.0,387.0,390.0,7
185.0,50.0,-121.27491600670628,100.0,175.0,203.0,209.0,331.0,337.0,7
123.0,58.0,-117.4151442713676,146.0,134.0,242.0,292.0,384.0,387.0,11
159.0,20.0,-122.33901804902705,189.0,176.0,210.0,290.0,360.0,301.0,7
105.0,8.0,-122.8143384306457,115.0,101.0,203.0,263.0,358.0,301.0,7
106.0,59.0,-117.49840204669653,180.0,106.0,219.0,299.0,303.0,370.0,9
127.0,29.0,-120.88535970778108,150.0,185.0,207.0,251.0,301.0,359.0,7
151.0,34.0,-120.89185181667648,177.0,148.0,273.0,274.0,366.0,310.0,9
41.0,39.0,-122.83190632492268,141.0,102.0,244.0,264.0,368.0,315.0,11
8.0,29.0,-125.02311379381572,170.0,180.0,219.0,223.0,353.0,379.0,7
83.0,80.0,-116.26250680709131,125.0,111.0,232.0,248.0,321.0,354.0,7
52.0,39.0,-122.22394313705648,136.0,160.0,221.0,267.0,300.0,358.0,7
61.0,34.0,-122.09784720967993,197.0,186.0,200.0,224.0,306.0,303.0,7
85.0,77.0,-116.41818552418496,176.0,146.0,259.0,283.0,301.0,383.0,7
121.0,72.0,-115.10643502287346,132.0,105.0,210.0,218.0,380.0,331.0,7
49.0,12.0,-124.02968179772986,127.0,125.0,296.0,244.0,388.0,356.0,10
66.0,3.0,-124.00159631754347,124.0,124.0,282.0,252.0,399.0,312.0,7
171.0,47.0,-120.64612643487872,143.0,145.0,211.0,245.0,323.0,350.0,7
106.0,76.0,-114.76974368022668,148.0,173.0,299.0,241.0,396.0,380.0,10
29.0,88.0,-121.39255233936032,152.0,140.0,216.0,263.0,395.0,313.0,7
167.0,107.0,-115.1665829065384,167.0,152.0,207.0,231.0,350.0,325.0,7
113.0,75.0,-114.64027548829948,186.0,111.0,240.0,260.0,354.0,361.0,8
103.0,4.0,-123.14638374219264,142.0,196.0,253.0,214.0,337.0,334.0,7
143.0,15.0,-122.35612160463845,177.0,101.0,266.0,278.0,341.0,316.0,7
115.0,100.0,-107.55874839895108,197.0,110.0,230.0,250.0,340.0,327.0,7
77.0,91.0,-115.81871508896003,172.0,166.0,252.0,239.0,368.0,304.0,7
105.0,37.0,-120.18119422776982,154.0,133.0,263.0,218.0,374.0,377.0,7
44.0,67.0,-121.032986213548,148.0,120.0,228.0,285.0,337.0,338.0,9
52.0,7.0,-124.21125621606876,100.0,131.0,213.0,294.0,360.0,301.0,9
12.0,92.0,-122.70161291444276,107.0,140.0,244.0,283.0,387.0,354.0,11
95.0,36.0,-120.52850884063484,160.0,135.0,288.0,278.0,335.0,394.0,11
140.0,73.0,-115.64275283766484,109.0,102.0,292.0,247.0,310.0,358.0,12
148.0,73.0,-116.25362457756992,109.0,146.0,259.0,229.0,345.0,326.0,7
7.0,64.0,-123.80782246497044,189.0,100.0,298.0,294.0,319.0,307.0,12
114.0,10.0,-122.58379679073256,158.0,122.0,277.0,297.0,314.0,343.0,10
90.0,54.0,-118.82442610022908,109.0,184.0,285.0,200.0,368.0,333.0,7
135.0,4.0,-123.1199848229706,145.0,148.0,228.0,295.0,390.0,387.0,9
138.0,56.0,-118.0238556085072,139.0,179.0,206.0,259.0,306.0,374.0,7
