node,sf,time
55.0,7.0,103.91973788307347
16.0,7.0,323.8749044761794
94.0,8.0,263.1806065058288
86.0,8.0,295.97353537340035
50.0,7.0,514.5154785996789
52.0,7.0,584.6585762157994
72.0,9.0,554.3830456065014
90.0,7.0,1068.4200649059649
47.0,7.0,1250.8636129158476
78.0,8.0,1196.2007652186626
8.0,7.0,1311.2607354203772
60.0,7.0,1379.365379078337
80.0,7.0,1495.9959711115378
19.0,11.0,669.2142490120367
16.0,7.0,1637.965091415919
81.0,9.0,1474.6692232324726
80.0,7.0,1940.3140837519331
51.0,7.0,1946.0871093914814
96.0,7.0,2244.5930259774673
72.0,9.0,2274.9951386683488
7.0,9.0,2510.4637863548014
73.0,8.0,2623.3071877956545
45.0,8.0,2803.835149266793
42.0,7.0,2876.096132002751
15.0,7.0,2970.8727894326835
39.0,10.0,2755.7758350038066
95.0,7.0,3790.2760777807707
8.0,7.0,4338.576087227108
40.0,7.0,4349.184237842144
20.0,7.0,4379.858508635024
85.0,7.0,4611.276088393468
80.0,7.0,4853.7645308248775
37.0,7.0,4858.453624410302
77.0,7.0,4956.4048825965365
92.0,7.0,4969.885420772717
49.0,8.0,4934.015709674762
28.0,7.0,5055.593800295935
53.0,7.0,5082.777013668453
0.0,8.0,5270.360066986256
45.0,8.0,5345.630030392921
82.0,7.0,5471.426598944709
28.0,7.0,5744.005502841361
12.0,9.0,5607.1380118588
90.0,7.0,5915.069701503183
3.0,10.0,5525.257571134949
30.0,7.0,6014.746436677023
84.0,7.0,6208.529240405175
61.0,8.0,6302.0304979879065
96.0,7.0,6456.2886658764
88.0,9.0,6488.21576203671
47.0,7.0,6892.101213452783
45.0,8.0,6876.819128121878
31.0,8.0,7166.425908720808
27.0,10.0,6959.99988876279
28.0,7.0,7493.472460477809
97.0,8.0,7488.234999803042
6.0,9.0,7609.471601489059
17.0,8.0,7744.5930982402015
82.0,7.0,7833.834195328435
29.0,9.0,7665.895461046061
5.0,8.0,8163.629715531146
0.0,8.0,8219.947770998268
53.0,7.0,8336.28419320733
34.0,8.0,8292.177006781321
51.0,7.0,8471.581844559189
61.0,8.0,8569.524635102833
2.0,7.0,8807.2206414646
60.0,7.0,8822.139385911358
33.0,7.0,8829.091214070626
13.0,8.0,8852.940319913263
84.0,7.0,8937.058242490491
41.0,7.0,9089.923189271534
88.0,9.0,8930.446988023936
27.0,10.0,8818.351014136144
87.0,7.0,9242.296158860749
44.0,10.0,8834.515900487564
29.0,9.0,9111.146159752703
43.0,11.0,8384.879036089254
76.0,9.0,9197.322473202883
37.0,7.0,9374.383247955438
48.0,7.0,9639.338089571384
25.0,9.0,9481.981107659434
21.0,11.0,8811.462103430347
78.0,8.0,9722.729994897125
33.0,7.0,9887.85532721246
27.0,10.0,9677.479427984954
13.0,8.0,10056.719345118825
30.0,7.0,10197.609272591963
42.0,7.0,10364.49649892721
52.0,7.0,10495.398057279226
47.0,7.0,10582.908592552309
56.0,7.0,11025.82591054263
95.0,7.0,11195.645600435939
41.0,7.0,11381.541941331447
55.0,7.0,11637.836148012733
84.0,7.0,11735.08129065748
51.0,7.0,11943.622478425264
6.0,9.0,11923.619765592517
87.0,7.0,12293.128474534293
15.0,7.0,12300.903044213253
24.0,7.0,12385.369551274587
47.0,7.0,12415.31861594233
92.0,7.0,12590.857691355935
52.0,7.0,12655.858673698818
38.0,7.0,12698.573897375854
46.0,9.0,12575.94770896593
41.0,7.0,12934.096791169348
90.0,7.0,13148.332162781526
61.0,8.0,13260.939255982456
37.0,7.0,13630.279636120067
39.0,10.0,13230.404367760473
77.0,7.0,13945.55513552772
8.0,7.0,14094.866769539218
30.0,7.0,14099.469497661987
79.0,11.0,13254.326152258825
85.0,7.0,14213.633855296988
48.0,7.0,14301.832332655424
57.0,7.0,14480.937699088656
45.0,8.0,14668.825117982818
84.0,7.0,14911.319039757025
74.0,7.0,14914.235026516204
71.0,8.0,15100.050268741119
83.0,9.0,15061.648900761118
37.0,7.0,15608.5039752203
15.0,7.0,16056.683935945954
83.0,9.0,15895.633966482965
54.0,8.0,16547.285369058583
43.0,11.0,15727.935545194085
96.0,7.0,16667.970352073396
99.0,12.0,15112.933066088272
0.0,8.0,16732.221448347387
13.0,8.0,16823.981426934333
76.0,9.0,16914.548337599874
91.0,7.0,17088.54513224832
26.0,7.0,17186.995972695695
34.0,8.0,17222.118256314367
48.0,7.0,17365.64771394932
90.0,7.0,17394.805319496176
41.0,7.0,17408.448264137387
39.0,10.0,17159.710631926664
90.0,7.0,17748.302526606578
59.0,10.0,17603.229955165978
87.0,7.0,18028.16570780428
34.0,8.0,18393.824940578324
16.0,7.0,18918.918296191183
38.0,7.0,18942.66034523585
80.0,7.0,19070.255498929262
34.0,8.0,19036.653160161663
26.0,7.0,19158.114907992007
58.0,7.0,19341.027472586105
17.0,8.0,19399.748253876063
37.0,7.0,19481.920564919812
7.0,9.0,19337.866729292084
63.0,8.0,19493.262583604308
18.0,9.0,19402.19543549544
88.0,9.0,19748.774398622758
54.0,8.0,20023.631676865778
16.0,7.0,20169.122083513405
83.0,9.0,20122.366370776348
34.0,8.0,20544.112956654513
74.0,7.0,20802.70615191962
42.0,7.0,20879.57250812782
77.0,7.0,20912.91193094258
48.0,7.0,21012.669318340708
80.0,7.0,21201.31653945725
40.0,7.0,21211.93811751726
88.0,9.0,21534.040606184695
52.0,7.0,21708.52172296404
13.0,8.0,21796.901354788897
77.0,7.0,21927.75113202242
88.0,9.0,22273.976639524826
54.0,8.0,22489.647590524673
89.0,9.0,22630.847867120352
22.0,8.0,22809.777718160603
49.0,8.0,22819.47653566447
57.0,7.0,23069.79313683496
65.0,7.0,23251.616979479397
26.0,7.0,23544.785616340137
55.0,7.0,23598.081420253664
21.0,11.0,22690.091912058353
74.0,7.0,23733.091927356327
96.0,7.0,23942.31271484513
17.0,8.0,23909.76532979324
79.0,11.0,23115.01239526462
63.0,8.0,23985.752843008613
34.0,8.0,24001.55517138163
29.0,9.0,24338.740158111545
60.0,7.0,24811.256708619498
71.0,8.0,24851.44638060107
90.0,7.0,25029.83169809009
