node,sf,time
12.0,9.0,59.50176381873095
124.0,7.0,286.13501914785746
242.0,9.0,196.6896768163122
168.0,7.0,467.6459639298694
228.0,7.0,526.762005195814
114.0,10.0,111.99241851015331
262.0,7.0,542.1788533226163
118.0,7.0,542.6897355015432
23.0,8.0,504.540119969048
22.0,7.0,652.5840424739874
249.0,8.0,714.6885750175843
206.0,7.0,861.9799744086727
209.0,8.0,884.3563917559753
269.0,8.0,1121.2286493987363
88.0,9.0,1138.7131305284322
81.0,8.0,1316.4808577027939
242.0,9.0,1245.939171743244
41.0,7.0,1449.3138118970517
272.0,11.0,544.1805240072259
204.0,10.0,1039.839996402761
196.0,10.0,1060.534176844154
81.0,8.0,1494.7661666449744
12.0,9.0,1443.8177112859998
139.0,8.0,1581.8743131898962
227.0,8.0,1595.185822017141
190.0,7.0,1667.5764004859777
2.0,8.0,1606.201423357392
147.0,10.0,1278.762801323984
108.0,12.0,169.4913112751956
5.0,9.0,1649.453797598744
27.0,9.0,1677.729834404036
268.0,11.0,949.6346537772879
164.0,10.0,1458.3034078528076
145.0,10.0,1476.555493818131
216.0,10.0,1482.0155670466343
238.0,7.0,1909.6786282953512
141.0,7.0,1928.20544975762
115.0,11.0,1038.5645004258402
188.0,10.0,1550.0319682368986
95.0,8.0,1990.4579824987131
254.0,9.0,1893.6669428868272
3.0,12.0,455.4368021835246
52.0,11.0,1186.3317746521595
269.0,8.0,2036.3344095014668
67.0,11.0,1199.374919096448
32.0,8.0,2124.977164477697
89.0,7.0,2274.117666524066
152.0,9.0,2123.6487819453455
131.0,7.0,2312.689887164132
186.0,10.0,1932.1794304755329
232.0,8.0,2290.6002630034986
11.0,10.0,1974.6741435955896
270.0,8.0,2368.1350624925544
201.0,11.0,1526.840877256837
272.0,11.0,1607.217729816359
80.0,9.0,2381.1058969252035
94.0,11.0,1675.4620003123978
219.0,7.0,2588.1953078784945
200.0,10.0,2301.184949251461
191.0,9.0,2565.341408783064
29.0,10.0,2419.377674783683
80.0,9.0,2675.1586663552553
271.0,11.0,1997.9673322373862
161.0,12.0,1274.262648992802
177.0,8.0,2885.110917114702
153.0,11.0,2044.7446547218692
226.0,8.0,2904.7857379252846
228.0,7.0,3041.32282027187
287.0,9.0,2895.188921541755
280.0,9.0,3011.7884554630514
85.0,7.0,3187.6745849861322
143.0,10.0,2778.178091734884
259.0,12.0,1566.9441315364247
257.0,9.0,3071.113702968901
59.0,8.0,3290.6121653489236
26.0,12.0,1752.921760208916
264.0,10.0,3014.5217145744114
31.0,12.0,1910.1940550862578
124.0,7.0,3596.57267723547
200.0,10.0,3188.414281587243
151.0,12.0,1971.2069052626155
281.0,8.0,3575.8570799747954
229.0,8.0,3595.5102465826044
217.0,7.0,3669.4303662945463
158.0,10.0,3257.9891952876656
296.0,9.0,3522.367364913821
241.0,7.0,3694.3709280328803
192.0,7.0,3738.3542503834833
38.0,9.0,3585.076710884145
156.0,11.0,2847.55972849896
231.0,8.0,3723.768425322974
81.0,8.0,3761.50182658472
266.0,12.0,2191.446061226598
166.0,11.0,2917.3814912466805
256.0,8.0,3781.9319623995193
219.0,7.0,3845.731936378771
238.0,7.0,3850.46947506467
80.0,9.0,3689.228937826322
64.0,9.0,3716.553821598682
6.0,10.0,3469.9633499002675
244.0,9.0,3716.818122230507
79.0,7.0,4007.6786742444747
22.0,7.0,4018.0925339983455
27.0,9.0,4001.707207634874
181.0,11.0,3296.910139357681
240.0,9.0,4044.8592690373766
201.0,11.0,3309.1392378611904
207.0,9.0,4100.5563119356675
285.0,9.0,4102.165788725865
177.0,8.0,4249.553777493592
55.0,8.0,4309.933210439462
30.0,7.0,4465.529153864267
97.0,10.0,4057.3119368118546
143.0,10.0,4071.123035677267
190.0,7.0,4563.287094340712
229.0,8.0,4516.656678590898
115.0,11.0,3712.4990520780457
6.0,10.0,4220.626023850814
247.0,11.0,3737.835623227209
144.0,10.0,4241.696116801915
37.0,7.0,4703.973669106998
23.0,8.0,4654.538800341339
96.0,12.0,3102.736094497557
52.0,11.0,3911.9703590400486
297.0,10.0,4438.8814890218955
95.0,8.0,4892.947535330909
126.0,10.0,4560.136778900166
166.0,11.0,4192.687141498953
233.0,8.0,5056.747200041859
177.0,8.0,5086.430236536149
139.0,8.0,5128.323057537036
158.0,10.0,4826.538450801992
172.0,7.0,5268.212712252055
214.0,7.0,5297.061818438219
196.0,10.0,5022.499692013279
32.0,8.0,5392.408868914667
206.0,7.0,5458.1992258889095
273.0,11.0,4572.899831690106
244.0,9.0,5313.984363086642
51.0,9.0,5378.802208903556
220.0,7.0,5653.767164241927
239.0,10.0,5256.64779590381
275.0,9.0,5545.717693165053
216.0,10.0,5299.000594408573
